location;scope;year;value
Sarangani;Province;2015;544261.0
Cotabato City;Province;2015;299438.0
Autonomous Region In Muslim Mindanao (ARMM);Region;2015;3781387.0
Basilan (excluding City of Isabela);Province;2015;346579.0
Lanao Del Sur;Province;2015;1045429.0
Maguindanao (excluding Cotabato City);Province;2015;1173933.0
Sulu;Province;2015;824731.0
Tawi-Tawi;Province;2015;390715.0
Region XIII (Caraga);Region;2015;2596709.0
Agusan Del Norte (excluding Butuan City);Province;2015;354503.0
Butuan City;Province;2015;337063.0
Agusan Del Sur;Province;2015;700653.0
Surigao Del Norte;Province;2015;485088.0
Surigao Del Sur;Province;2015;592250.0
Dinagat Islands;Province;2015;127152.0
